Unnamed: 0,User,org:resource,concept:name,Cumulative net worth (EUR),time:timestamp,case:Spend area text,case:Company,case:Document Type,case:Sub spend area text,case:Purchasing Document,case:Purch. Doc. Category name,case:Vendor,case:Item Type,case:Item Category,case:Spend classification text,case:Source,case:Name,case:GR-Based Inv. Verif.,case:Item,case:concept:name,case:Goods Receipt
1590040,1590040,NONE,NONE,Vendor creates invoice,15349.0,2017-12-21 22:59:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,10,4507075965_00010,False
1590041,1590041,user_602,user_602,Create Purchase Order Item,15349.0,2018-01-04 11:07:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,10,4507075965_00010,False
1590042,1590042,user_603,user_603,Change Approval for Purchase Order,15349.0,2018-01-04 11:36:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,10,4507075965_00010,False
1590043,1590043,user_605,user_605,Record Invoice Receipt,15349.0,2018-01-05 15:31:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,10,4507075965_00010,False
1590044,1590044,user_605,user_605,Cancel Invoice Receipt,15349.0,2018-01-10 11:41:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,10,4507075965_00010,False
1590045,1590045,user_605,user_605,Clear Invoice,15349.0,2018-01-10 11:42:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,10,4507075965_00010,False
1590046,1590046,user_605,user_605,Record Invoice Receipt,15349.0,2018-01-10 12:27:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,10,4507075965_00010,False
1590047,1590047,user_205,user_205,Clear Invoice,15349.0,2018-02-21 12:54:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,10,4507075965_00010,False
1590048,1590048,NONE,NONE,Vendor creates invoice,265.0,2017-12-21 22:59:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,20,4507075965_00020,False
1590049,1590049,NONE,NONE,Vendor creates debit memo,265.0,2017-12-21 22:59:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,20,4507075965_00020,False
1590050,1590050,user_602,user_602,Create Purchase Order Item,265.0,2018-01-04 11:07:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,20,4507075965_00020,False
1590051,1590051,user_603,user_603,Change Approval for Purchase Order,265.0,2018-01-04 11:36:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,20,4507075965_00020,False
1590052,1590052,user_605,user_605,Record Invoice Receipt,265.0,2018-01-05 15:31:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,20,4507075965_00020,False
1590053,1590053,user_605,user_605,Cancel Invoice Receipt,265.0,2018-01-10 11:41:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,20,4507075965_00020,False
1590054,1590054,user_605,user_605,Clear Invoice,265.0,2018-01-10 11:42:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,20,4507075965_00020,False
1590055,1590055,user_605,user_605,Record Invoice Receipt,265.0,2018-01-10 12:30:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,20,4507075965_00020,False
1590056,1590056,user_604,user_604,Clear Invoice,265.0,2018-01-18 10:07:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,20,4507075965_00020,False
1590057,1590057,user_602,user_602,Create Purchase Order Item,15349.0,2018-01-04 11:25:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,30,4507075965_00030,False
1590058,1590058,user_603,user_603,Change Approval for Purchase Order,15349.0,2018-01-04 11:36:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,30,4507075965_00030,False
1590059,1590059,user_602,user_602,Create Purchase Order Item,265.0,2018-01-04 11:25:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,40,4507075965_00040,False
1590060,1590060,user_603,user_603,Change Approval for Purchase Order,265.0,2018-01-04 11:36:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,40,4507075965_00040,False
1590061,1590061,user_602,user_602,Create Purchase Order Item,15349.0,2018-01-04 11:25:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,50,4507075965_00050,False
1590062,1590062,user_603,user_603,Change Approval for Purchase Order,15349.0,2018-01-04 11:36:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,50,4507075965_00050,False
1590063,1590063,NONE,NONE,Vendor creates invoice,15349.0,2018-02-16 22:59:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,50,4507075965_00050,False
1590064,1590064,user_359,user_359,Record Invoice Receipt,15349.0,2018-02-22 13:27:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,50,4507075965_00050,False
1590065,1590065,user_205,user_205,Clear Invoice,15349.0,2018-04-11 08:34:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,50,4507075965_00050,False
1590066,1590066,user_602,user_602,Create Purchase Order Item,265.0,2018-01-04 11:25:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,60,4507075965_00060,False
1590067,1590067,user_603,user_603,Change Approval for Purchase Order,265.0,2018-01-04 11:36:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,60,4507075965_00060,False
1590068,1590068,NONE,NONE,Vendor creates invoice,265.0,2018-02-16 22:59:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,60,4507075965_00060,False
1590069,1590069,user_359,user_359,Record Invoice Receipt,265.0,2018-02-23 10:09:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,60,4507075965_00060,False
1590070,1590070,user_604,user_604,Clear Invoice,265.0,2018-02-28 15:30:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,60,4507075965_00060,False
1590071,1590071,user_602,user_602,Create Purchase Order Item,15349.0,2018-01-04 11:25:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,70,4507075965_00070,False
1590072,1590072,user_603,user_603,Change Approval for Purchase Order,15349.0,2018-01-04 11:36:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,70,4507075965_00070,False
1590073,1590073,user_602,user_602,Create Purchase Order Item,265.0,2018-01-04 11:25:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,80,4507075965_00080,False
1590074,1590074,user_603,user_603,Change Approval for Purchase Order,265.0,2018-01-04 11:36:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,80,4507075965_00080,False
1590075,1590075,user_602,user_602,Create Purchase Order Item,15349.0,2018-01-04 11:25:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,90,4507075965_00090,False
1590076,1590076,user_603,user_603,Change Approval for Purchase Order,15349.0,2018-01-04 11:36:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,90,4507075965_00090,False
1590077,1590077,NONE,NONE,Vendor creates invoice,15349.0,2018-05-23 21:59:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,90,4507075965_00090,False
1590078,1590078,user_359,user_359,Record Invoice Receipt,15349.0,2018-05-30 09:58:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,90,4507075965_00090,False
1590079,1590079,user_604,user_604,Clear Invoice,15349.0,2018-12-18 12:27:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,90,4507075965_00090,False
1590080,1590080,user_602,user_602,Create Purchase Order Item,265.0,2018-01-04 11:25:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,100,4507075965_00100,False
1590081,1590081,user_603,user_603,Change Approval for Purchase Order,265.0,2018-01-04 11:36:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,100,4507075965_00100,False
1590082,1590082,user_602,user_602,Create Purchase Order Item,15349.0,2018-01-04 11:25:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,110,4507075965_00110,False
1590083,1590083,user_603,user_603,Change Approval for Purchase Order,15349.0,2018-01-04 11:36:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,110,4507075965_00110,False
1590084,1590084,NONE,NONE,Vendor creates invoice,15349.0,2018-05-01 21:59:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,110,4507075965_00110,False
1590085,1590085,user_359,user_359,Record Invoice Receipt,15349.0,2018-05-10 10:14:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,110,4507075965_00110,False
1590086,1590086,user_602,user_602,Create Purchase Order Item,265.0,2018-01-04 11:25:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,120,4507075965_00120,False
1590087,1590087,user_603,user_603,Change Approval for Purchase Order,265.0,2018-01-04 11:36:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,120,4507075965_00120,False
1590088,1590088,NONE,NONE,Vendor creates invoice,265.0,2018-05-01 21:59:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,120,4507075965_00120,False
1590089,1590089,user_359,user_359,Record Invoice Receipt,265.0,2018-05-10 14:29:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,120,4507075965_00120,False
1590090,1590090,user_005,user_005,Clear Invoice,265.0,2018-05-16 16:13:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,120,4507075965_00120,False
1590091,1590091,user_602,user_602,Create Purchase Order Item,15349.0,2018-01-04 11:25:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,130,4507075965_00130,False
1590092,1590092,user_603,user_603,Change Approval for Purchase Order,15349.0,2018-01-04 11:36:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,130,4507075965_00130,False
1590093,1590093,NONE,NONE,Vendor creates invoice,15349.0,2018-05-15 21:59:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,130,4507075965_00130,False
1590094,1590094,user_359,user_359,Record Invoice Receipt,15349.0,2018-05-18 09:17:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,130,4507075965_00130,False
1590095,1590095,user_602,user_602,Create Purchase Order Item,265.0,2018-01-04 11:25:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,140,4507075965_00140,False
1590096,1590096,user_603,user_603,Change Approval for Purchase Order,265.0,2018-01-04 11:36:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,140,4507075965_00140,False
1590097,1590097,NONE,NONE,Vendor creates invoice,265.0,2018-05-15 21:59:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,140,4507075965_00140,False
1590098,1590098,user_359,user_359,Record Invoice Receipt,265.0,2018-05-21 07:50:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,140,4507075965_00140,False
1590099,1590099,user_604,user_604,Clear Invoice,265.0,2018-05-23 16:17:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,140,4507075965_00140,False
1590100,1590100,user_602,user_602,Create Purchase Order Item,15349.0,2018-01-04 11:25:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,150,4507075965_00150,False
1590101,1590101,user_603,user_603,Change Approval for Purchase Order,15349.0,2018-01-04 11:36:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,150,4507075965_00150,False
1590102,1590102,NONE,NONE,Vendor creates invoice,15349.0,2018-06-25 21:59:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,150,4507075965_00150,False
1590103,1590103,user_359,user_359,Record Invoice Receipt,15349.0,2018-06-28 08:42:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,150,4507075965_00150,False
1590104,1590104,user_602,user_602,Create Purchase Order Item,265.0,2018-01-04 11:25:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,160,4507075965_00160,False
1590105,1590105,user_603,user_603,Change Approval for Purchase Order,265.0,2018-01-04 11:36:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,160,4507075965_00160,False
1590106,1590106,NONE,NONE,Vendor creates invoice,265.0,2018-06-25 21:59:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,160,4507075965_00160,False
1590107,1590107,user_359,user_359,Record Invoice Receipt,265.0,2018-06-29 11:00:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,160,4507075965_00160,False
1590108,1590108,user_604,user_604,Clear Invoice,265.0,2018-07-04 14:35:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,160,4507075965_00160,False
1590109,1590109,user_602,user_602,Create Purchase Order Item,15349.0,2018-01-04 11:25:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,170,4507075965_00170,False
1590110,1590110,user_603,user_603,Change Approval for Purchase Order,15349.0,2018-01-04 11:36:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,170,4507075965_00170,False
1590111,1590111,NONE,NONE,Vendor creates invoice,15349.0,2018-07-18 21:59:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,170,4507075965_00170,False
1590112,1590112,user_359,user_359,Record Invoice Receipt,15349.0,2018-07-26 08:08:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,170,4507075965_00170,False
1590113,1590113,user_602,user_602,Create Purchase Order Item,265.0,2018-01-04 11:25:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,180,4507075965_00180,False
1590114,1590114,user_603,user_603,Change Approval for Purchase Order,265.0,2018-01-04 11:36:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,180,4507075965_00180,False
1590115,1590115,NONE,NONE,Vendor creates invoice,265.0,2018-07-18 21:59:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,180,4507075965_00180,False
1590116,1590116,user_359,user_359,Record Invoice Receipt,265.0,2018-07-27 10:24:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,180,4507075965_00180,False
1590117,1590117,user_604,user_604,Clear Invoice,265.0,2018-08-01 15:33:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,180,4507075965_00180,False
1590118,1590118,user_602,user_602,Create Purchase Order Item,15349.0,2018-01-04 11:25:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,190,4507075965_00190,False
1590119,1590119,user_603,user_603,Change Approval for Purchase Order,15349.0,2018-01-04 11:36:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,190,4507075965_00190,False
1590120,1590120,NONE,NONE,Vendor creates invoice,15349.0,2018-08-22 21:59:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,190,4507075965_00190,False
1590121,1590121,user_359,user_359,Record Invoice Receipt,15349.0,2018-08-30 08:21:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,190,4507075965_00190,False
